applicable,audit_file,calculation_reason,denominator,metric_name,numerator,observation_value,patient,question_id,question_number,reason_not_applicable,system,turn_id
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,126626,126626,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,graph_rag,92e98184-f8d0-456f-8826-e77bc4cfa374
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,26251,26251,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,hybrid_rag,a6078951-90be-4c64-9315-f2f2339d9019
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,44,44,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,hybrid_rag,a6078951-90be-4c64-9315-f2f2339d9019
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,26251,26251,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,hybrid_rag,a6078951-90be-4c64-9315-f2f2339d9019
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,26295,26295,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,hybrid_rag,a6078951-90be-4c64-9315-f2f2339d9019
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,26251,26251,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,hybrid_rag,a6078951-90be-4c64-9315-f2f2339d9019
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,127210,127210,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,hippo_rag,d8b7ad55-8462-4716-a22b-fbd0eb18fda3
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,31,31,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,hippo_rag,d8b7ad55-8462-4716-a22b-fbd0eb18fda3
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,127210,127210,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,hippo_rag,d8b7ad55-8462-4716-a22b-fbd0eb18fda3
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,127241,127241,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,hippo_rag,d8b7ad55-8462-4716-a22b-fbd0eb18fda3
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,127210,127210,SYN-CSM-003,4366257c-d58a-46ea-b76c-c4daa784c892,1,,hippo_rag,d8b7ad55-8462-4716-a22b-fbd0eb18fda3
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,21879,21879,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,hybrid_rag,62e4a7bd-507b-4051-b457-ddc78e19fc04
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,33,33,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,hybrid_rag,62e4a7bd-507b-4051-b457-ddc78e19fc04
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,21879,21879,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,hybrid_rag,62e4a7bd-507b-4051-b457-ddc78e19fc04
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,21912,21912,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,hybrid_rag,62e4a7bd-507b-4051-b457-ddc78e19fc04
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,21879,21879,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,hybrid_rag,62e4a7bd-507b-4051-b457-ddc78e19fc04
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,23671,23671,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,dense_rag,7e8001ec-a8f9-4572-8a6a-091f04df372b
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,35,35,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,dense_rag,7e8001ec-a8f9-4572-8a6a-091f04df372b
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,23671,23671,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,dense_rag,7e8001ec-a8f9-4572-8a6a-091f04df372b
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,23706,23706,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,dense_rag,7e8001ec-a8f9-4572-8a6a-091f04df372b
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,23671,23671,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,dense_rag,7e8001ec-a8f9-4572-8a6a-091f04df372b
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,31193,31193,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,rolling_summary,8aa5e22a-bc78-43fa-a71f-d333f7fad027
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,11,11,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,rolling_summary,8aa5e22a-bc78-43fa-a71f-d333f7fad027
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,31193,31193,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,rolling_summary,8aa5e22a-bc78-43fa-a71f-d333f7fad027
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,31204,31204,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,rolling_summary,8aa5e22a-bc78-43fa-a71f-d333f7fad027
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,31193,31193,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,rolling_summary,8aa5e22a-bc78-43fa-a71f-d333f7fad027
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,125911,125911,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,hippo_rag,8c4ecc0c-03d7-446c-94bb-cf4514f713d2
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,57,57,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,hippo_rag,8c4ecc0c-03d7-446c-94bb-cf4514f713d2
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,125911,125911,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,hippo_rag,8c4ecc0c-03d7-446c-94bb-cf4514f713d2
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,125968,125968,SYN-CSM-003,e7fd9828-416e-4940-b38f-3f9c4459a432,2,,hippo_rag,8c4ecc0c-03d7-446c-94bb-cf4514f713d2
