metric_name,comparison,paired_sample_count,mean_difference,median_difference,effect_size,raw_p_value,adjusted_p_value,ci_low,ci_high,test_result,reason
activation_precision,csm_v4_vs_long_context,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_precision,csm_v4_vs_rolling_summary,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_precision,csm_v4_vs_dense_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_precision,csm_v4_vs_hybrid_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_precision,csm_v4_vs_graph_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_precision,csm_v4_vs_hippo_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_precision,csm_v4_vs_csm,60,0.03359433107885121,0.0,0.4271684096753103,0.0033778479119064286,0.0076594182914720334,0.011745823479424485,0.052979579509184756,computed,NULL
activation_precision,csm_v4_vs_csm_v3,60,0.055769655754175904,0.021780303030303025,0.7894857559959925,1.0843941709026694e-06,4.557982002899838e-06,0.039262711785834854,0.07469703179087854,computed,NULL
activation_recall,csm_v4_vs_long_context,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_recall,csm_v4_vs_rolling_summary,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_recall,csm_v4_vs_dense_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_recall,csm_v4_vs_hybrid_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_recall,csm_v4_vs_graph_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_recall,csm_v4_vs_hippo_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
