metric_name,comparison,paired_sample_count,mean_difference,median_difference,effect_size,raw_p_value,adjusted_p_value,ci_low,ci_high,test_result,reason
activation_precision,csm_v3_vs_long_context,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_precision,csm_v3_vs_rolling_summary,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_precision,csm_v3_vs_dense_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_precision,csm_v3_vs_hybrid_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_precision,csm_v3_vs_graph_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_precision,csm_v3_vs_hippo_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_precision,csm_v3_vs_csm,60,-0.022175324675324678,0.0,-0.31067437047940577,0.07075554598122835,0.11193602247823956,-0.03926799242424243,-0.0025348725348725487,computed,NULL
activation_recall,csm_v3_vs_long_context,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_recall,csm_v3_vs_rolling_summary,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_recall,csm_v3_vs_dense_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_recall,csm_v3_vs_hybrid_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_recall,csm_v3_vs_graph_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_recall,csm_v3_vs_hippo_rag,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N/A,insufficient_paired_observations
activation_recall,csm_v3_vs_csm,60,-0.10537715404563229,0.0,-0.6573342157762785,2.9802322387695312e-06,1.0866944382830364e-05,-0.14633058718656541,-0.0654004525064308,computed,NULL
answer_accuracy,csm_v3_vs_long_context,48,-0.015509259259259266,0.0,-0.07599995807635368,1.0,1.0,-0.07328124999999999,0.0410503472222222,computed,NULL
answer_accuracy,csm_v3_vs_rolling_summary,53,0.005345911949685534,0.0,0.0337993136612901,1.0,1.0,-0.035694444444444445,0.0536844863731656,computed,NULL
answer_accuracy,csm_v3_vs_dense_rag,55,-0.07494227994227995,0.0,-0.3614551966534907,0.022655844688415527,0.04181541704837187,-0.12945111832611836,-0.03034505772005773,computed,NULL
