System,answer_accuracy,decision_f1,evidence_support_rate,expected_calibration_error,faithfulness,groundedness,hallucination_rate,unsupported_claim_rate
long_context,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
rolling_summary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dense_rag,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hybrid_rag,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
graph_rag,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hippo_rag,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
csm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
csm_v3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
csm_v4,0 +/- 0,N/A,0 +/- 0,0.8691 +/- 0.04183,0.9503 +/- 0.02383,0.9503 +/- 0.02383,1 +/- 0,1 +/- 0
