canonical_source_id,citation_id,classification,document_id,output_id,source_type,system,turn_id
5c05a6f5-73c3-40ce-b489-9e78826d7e30,C4,stored_unclassified,,3a57c80a-8521-41b5-b88d-27ec591156c5,patient_information,long_context,ba6e63c2-81b1-4351-9e3a-d3c968370ea7
52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,C1,stored_unclassified,,3a57c80a-8521-41b5-b88d-27ec591156c5,patient_information,long_context,ba6e63c2-81b1-4351-9e3a-d3c968370ea7
2eb49637-d46b-497e-9788-29ddb867d3bc,C4,stored_unclassified,,3484bc06-41ff-4ac8-9973-9161f4fe1b64,patient_information,rolling_summary,8aa5e22a-bc78-43fa-a71f-d333f7fad027
145a1a47-3231-43a9-8d23-24880122e956,C7,stored_unclassified,,6cba2371-138d-4f80-8218-539ea18e6380,patient_information,long_context,640e23ee-3d07-47c4-843e-90c7eeda8271
18e3ce02-31f6-43d4-8191-c2dfe0133eb1,C1,stored_unclassified,,db4c8c4e-a168-4111-81f8-a34f2fe05ee8,conversation,rolling_summary,b0453bcb-b2ea-41bb-b986-485d2dbc521f
145a1a47-3231-43a9-8d23-24880122e956,C7,stored_unclassified,,4a2ebc6d-cc69-4dd2-bd51-be67654be057,patient_information,long_context,21bc8eaf-dc22-4c04-8395-e3966028628a
52f1e0d3-7b1e-4fdb-97d7-386d643d0c99,C1,stored_unclassified,,2ca3cf4a-913a-40a7-9546-46a644b64733,patient_information,long_context,31cc6372-eaf1-4abe-8931-3b71d55bb227
9ed89967-8788-465f-bd08-3dfeb36c7f7b,C2,stored_unclassified,,2ca3cf4a-913a-40a7-9546-46a644b64733,patient_information,long_context,31cc6372-eaf1-4abe-8931-3b71d55bb227
4e13f76b-deab-47b5-94a0-d13b01eea584,C3,stored_unclassified,,2ca3cf4a-913a-40a7-9546-46a644b64733,patient_information,long_context,31cc6372-eaf1-4abe-8931-3b71d55bb227
5c05a6f5-73c3-40ce-b489-9e78826d7e30,C4,stored_unclassified,,2ca3cf4a-913a-40a7-9546-46a644b64733,patient_information,long_context,31cc6372-eaf1-4abe-8931-3b71d55bb227
78d14e72-cdd1-4822-8b6c-e3300c0baf2b,C5,stored_unclassified,,2ca3cf4a-913a-40a7-9546-46a644b64733,patient_information,long_context,31cc6372-eaf1-4abe-8931-3b71d55bb227
ea919ae5-2472-4ef6-85a9-e626199b7157,C6,stored_unclassified,,2ca3cf4a-913a-40a7-9546-46a644b64733,patient_information,long_context,31cc6372-eaf1-4abe-8931-3b71d55bb227
145a1a47-3231-43a9-8d23-24880122e956,C7,stored_unclassified,,2ca3cf4a-913a-40a7-9546-46a644b64733,patient_information,long_context,31cc6372-eaf1-4abe-8931-3b71d55bb227
