canonical_source_id,citation_id,classification,document_id,output_id,source_type,system,turn_id
93741d05-d8a8-40c9-b965-87774b495ce1,C8,stored_unclassified,,b5d8b05a-aa67-4b10-a6df-2f4258c7fa5f,state,csm_v3,65e08603-9575-4720-92d6-7ae27541c643
54fd1427-29f4-4118-a5b1-2ba777c3a0c6,C8,stored_unclassified,,594e8076-9894-4432-8a3b-decc75573553,patient_information,csm_v3,50aa4cff-d8e0-49c4-9328-5eabd4c94b74
54fd1427-29f4-4118-a5b1-2ba777c3a0c6,C1,stored_unclassified,,41b3bbd0-b7e9-45cd-9566-1a413f032f2c,patient_information,csm_v3,b71df394-fe0c-4f32-9a9b-74e805016cb2
100e6bd9-2555-45d8-975a-227392273059,C4,stored_unclassified,,41b3bbd0-b7e9-45cd-9566-1a413f032f2c,patient_information,csm_v3,b71df394-fe0c-4f32-9a9b-74e805016cb2
2714340b-357b-40da-8320-ca5d49b38825,C5,stored_unclassified,,41b3bbd0-b7e9-45cd-9566-1a413f032f2c,patient_information,csm_v3,b71df394-fe0c-4f32-9a9b-74e805016cb2
b36fe256-a9f3-4d54-8414-ff7324791817,C7,stored_unclassified,,41b3bbd0-b7e9-45cd-9566-1a413f032f2c,patient_information,csm_v3,b71df394-fe0c-4f32-9a9b-74e805016cb2
4ccc7534-0c71-4918-a30a-3425d55a636c,C11,stored_unclassified,,41b3bbd0-b7e9-45cd-9566-1a413f032f2c,patient_information,csm_v3,b71df394-fe0c-4f32-9a9b-74e805016cb2
100e6bd9-2555-45d8-975a-227392273059,C1,stored_unclassified,,f9c16f45-9c03-477b-a266-1d90146bfdc5,state,csm_v3,9f3933f6-d119-4604-8759-bc440748d86e
b36fe256-a9f3-4d54-8414-ff7324791817,C2,stored_unclassified,,f9c16f45-9c03-477b-a266-1d90146bfdc5,state,csm_v3,9f3933f6-d119-4604-8759-bc440748d86e
2714340b-357b-40da-8320-ca5d49b38825,C3,stored_unclassified,,f9c16f45-9c03-477b-a266-1d90146bfdc5,state,csm_v3,9f3933f6-d119-4604-8759-bc440748d86e
